Graph,R,Size,Execution time
deezer_HR,1,1,407.677
ego-facebook,1,3,3.666
gemsec_facebook_artist,1,1,364.302
graph_actors_dat,1,6000,2.411
graph_CA-AstroPh,1,18772,0.003
graph_CA-CondMat,1,23122,0.01
graph_CA-GrQc,1,5242,0
graph_CA-HepPh,1,12008,0.002
graph_CA-HepTh,1,9877,0.001
graph_dolphins,1,1,0
graph_Email-Enron,1,34676,2.14
graph_football,1,1,0.001
graph_jazz,1,1,0.007
graph_karate,1,1,0
graph_ncstrlwg2,1,597,2.547
loc-gowalla_edges,1,1,4573.455
musae_git,1,1,125.892
socfb-Brandeis99,1,3884,0.001
socfb-Mich67,1,3559,0.017
socfb-nips-ego,1,9,0.276
soc-gplus,1,1852,17.73
deezer_HR,2,96,489.589
ego-facebook,2,2573,0.274
gemsec_facebook_artist,2,30,397.183
graph_actors_dat,2,8921,0.47
graph_CA-AstroPh,2,18772,0.003
graph_CA-CondMat,2,23122,0.01
graph_CA-GrQc,2,5242,0
graph_CA-HepPh,2,12008,0.002
graph_CA-HepTh,2,9877,0.001
graph_dolphins,2,1,0
graph_Email-Enron,2,34676,2.063
graph_football,2,4,0.002
graph_jazz,2,4,0.008
graph_karate,2,1,0
graph_ncstrlwg2,2,1758,1.63
loc-gowalla_edges,2,69867,2515.799
musae_git,2,2,134.188
socfb-Brandeis99,2,3884,0.001
socfb-Mich67,2,3559,0.018
socfb-nips-ego,2,9,0.277
soc-gplus,2,1852,21.11
deezer_HR,3,45332,58.613
ego-facebook,3,3676,0.04
gemsec_facebook_artist,3,39796,65.04
graph_actors_dat,3,9587,0.214
graph_CA-AstroPh,3,18772,0.004
graph_CA-CondMat,3,23122,0.013
graph_CA-GrQc,3,5242,0.001
graph_CA-HepPh,3,12008,0.003
graph_CA-HepTh,3,9877,0.002
graph_dolphins,3,1,0
graph_Email-Enron,3,34676,2.653
graph_football,3,28,0.001
graph_jazz,3,10,0.01
graph_karate,3,2,0
graph_ncstrlwg2,3,3079,1.149
loc-gowalla_edges,3,95830,3174.378
musae_git,3,18,263.104
socfb-Brandeis99,3,3884,0.002
socfb-Mich67,3,3559,0.022
socfb-nips-ego,3,9,0.336
soc-gplus,3,1852,22.483
deezer_HR,4,48812,21.546
ego-facebook,4,3787,0.033
gemsec_facebook_artist,4,43683,20.542
graph_actors_dat,4,9885,0.07
graph_CA-AstroPh,4,18772,0.005
graph_CA-CondMat,4,23122,0.015
graph_CA-GrQc,4,5242,0.001
graph_CA-HepPh,4,12008,0.003
graph_CA-HepTh,4,9877,0.002
graph_dolphins,4,12,0
graph_Email-Enron,4,34676,3.02
graph_football,4,29,0.002
graph_jazz,4,26,0.012
graph_karate,4,7,0
graph_ncstrlwg2,4,4154,0.812
loc-gowalla_edges,4,116677,2152.077
musae_git,4,27979,24.154
socfb-Brandeis99,4,3884,0.003
socfb-Mich67,4,3559,0.029
socfb-nips-ego,4,9,0.419
soc-gplus,4,1852,32.171
deezer_HR,5,48812,25.666
ego-facebook,5,3787,0.037
gemsec_facebook_artist,5,43683,28.715
graph_actors_dat,5,9885,0.061
graph_CA-AstroPh,5,18772,0.005
graph_CA-CondMat,5,23122,0.015
